Blue Ban 1,Red Ban 1,Blue Ban 2,Red Ban 2,Blue Ban 3,Red Ban 3,Blue Pick 1,Red Pick 1,Red Pick 2,Blue Pick 2,Blue Pick 3,Red Pick 3,Red Ban 4,Blue Ban 4,Red Ban 5,Blue Ban 5,Red Pick 4,Blue Pick 4,Blue Pick 5,Red Pick 5
Kalista,Irelia,Senna,Aphelios,LeBlanc,Sejuani,Varus,Sett,Xayah,Tahm Kench,Renekton,Rakan,Kassadin,Jarvan IV,Syndra,Lee Sin,Zoe,Azir,Gragas,Sylas
Zoe,Aphelios,Varus,Senna,Renekton,Sett,Miss Fortune,Kalista,Jarvan IV,Lee Sin,Leona,Syndra,Sylas,Taric,Irelia,Thresh,Alistar,Rumble,Aatrox,Qiyana
Thresh,Aphelios,Sett,Renekton,Tahm Kench,Varus,Kalista,Senna,Ornn,Taric,Irelia,Azir,Sejuani,Olaf,Elise,Lee Sin,Maokai,Gragas,Vladimir,Graves
Zoe,Elise,Jarvan IV,Aphelios,Sejuani,Senna,Renekton,Sett,Gragas,Miss Fortune,Nautilus,Varus,Qiyana,Mordekaiser,Olaf,Thresh,Braum,Sylas,Lee Sin,Irelia
Jarvan IV,Kalista,Rumble,Sett,Syndra,Aphelios,Varus,Senna,Nautilus,Lee Sin,LeBlanc,Rek'Sai,Tahm Kench,Kassadin,Thresh,Lissandra,Sylas,Aatrox,Leona,Wukong
Sett,Elise,Senna,Aphelios,Olaf,Lee Sin,Miss Fortune,Ornn,Jarvan IV,Sylas,Aatrox,Taliyah,LeBlanc,Kalista,Irelia,Leona,Ezreal,Lucian,Thresh,Tahm Kench
Zoe,Aphelios,Lee Sin,Kalista,Elise,Sett,Varus,Rumble,Jarvan IV,Thresh,Ornn,Kai'Sa,Nidalee,Aatrox,Rek'Sai,Nautilus,Blitzcrank,Qiyana,Neeko,Renekton
Olaf,Zoe,Pantheon,Aphelios,Rumble,Sejuani,Sett,Renekton,Elise,Lee Sin,LeBlanc,Mordekaiser,Varus,Senna,Kai'Sa,Kalista,Miss Fortune,Caitlyn,Morgana,Nautilus
Kassadin,Aphelios,Olaf,Pantheon,Renekton,Wukong,Jarvan IV,Aatrox,Varus,Miss Fortune,Nautilus,Thresh,Mordekaiser,Nidalee,Qiyana,LeBlanc,Rek'Sai,Zoe,Sett,Diana
Elise,Aphelios,Taric,Jarvan IV,Zoe,Wukong,Senna,Varus,Tahm Kench,Nautilus,Azir,LeBlanc,Mordekaiser,Sett,Renekton,Trundle,Ornn,Maokai,Lee Sin,Olaf
Zoe,Sett,Elise,Senna,Olaf,Rek'Sai,Lee Sin,Aphelios,Ornn,Aatrox,Miss Fortune,Braum,Yuumi,Jarvan IV,Bard,Azir,Kindred,Rakan,Rumble,Karma
Zilean,Akali,Aurelion Sol,Mordekaiser,Aphelios,Irelia,Rumble,Miss Fortune,Leona,Lucian,Jarvan IV,Cassiopeia,Thresh,Rek'Sai,Ornn,Lee Sin,Qiyana,Renekton,Nautilus,Jax
Elise,Sett,Rek'Sai,Ornn,Senna,Aphelios,Jarvan IV,Miss Fortune,Lee Sin,LeBlanc,Maokai,Lissandra,Kalista,Gangplank,Kai'Sa,Mordekaiser,Kayle,Varus,Thresh,Nautilus
Kalista,Aphelios,Mordekaiser,Renekton,Olaf,Wukong,Trundle,Varus,Elise,Miss Fortune,Nautilus,Braum,Jax,Sett,Irelia,Syndra,Aatrox,LeBlanc,Camille,Kassadin
Jarvan IV,Olaf,Sett,Kalista,Kassadin,Aphelios,Varus,Wukong,Miss Fortune,Tahm Kench,Ornn,Trundle,LeBlanc,Zoe,Sylas,Nautilus,Braum,Azir,Rek'Sai,Corki
Kalista,Syndra,Trundle,Bard,Varus,Lee Sin,Renekton,LeBlanc,Olaf,Tahm Kench,Neeko,Aphelios,Senna,Wukong,Kassadin,Ornn,Nautilus,Ekko,Aatrox,Mordekaiser
Zoe,Aphelios,Azir,Taric,Kalista,Olaf,Varus,Senna,Sett,Tahm Kench,Renekton,Maokai,Sejuani,Graves,LeBlanc,Kindred,Elise,Trundle,Sylas,Irelia
Olaf,Akali,Senna,Lucian,Rumble,Elise,Aphelios,Qiyana,Miss Fortune,Lee Sin,Nautilus,Mordekaiser,Gangplank,Thresh,Aatrox,Gragas,Leona,Braum,Fiora,Cassiopeia
Azir,Aphelios,Zoe,Renekton,Olaf,Sett,Aatrox,Kalista,Thresh,Senna,Tahm Kench,Jarvan IV,Elise,Ornn,Ekko,Kennen,Rumble,Diana,Rek'Sai,Cassiopeia
LeBlanc,Aphelios,Qiyana,Sett,Kassadin,Renekton,Zoe,Lee Sin,Varus,Rek'Sai,Miss Fortune,Neeko,Mordekaiser,Nautilus,Sylas,Thresh,Ornn,Aatrox,Leona,Tahm Kench
Zoe,Aphelios,Trundle,Kalista,Sett,Renekton,Varus,Aatrox,Thresh,Mordekaiser,Lee Sin,Miss Fortune,Braum,Rek'Sai,Tahm Kench,Olaf,Gragas,Blitzcrank,Rumble,Sylas
Olaf,Sett,Elise,Zoe,Senna,Aphelios,Renekton,Miss Fortune,Aatrox,Kai'Sa,Nautilus,Leona,Lee Sin,Kled,Jarvan IV,Rek'Sai,Sejuani,Trundle,Sylas,Mordekaiser
Senna,Elise,LeBlanc,Aphelios,Sett,Rek'Sai,Olaf,Lee Sin,Miss Fortune,Ornn,Karma,Nautilus,Yuumi,Zoe,Varus,Mordekaiser,Aatrox,Ezreal,Leona,Syndra
Kalista,Aphelios,Lucian,Sett,LeBlanc,Senna,Varus,Ezreal,Rumble,Lee Sin,Nautilus,Thresh,Zoe,Jarvan IV,Pantheon,Olaf,Elise,Ornn,Azir,Aatrox
Sejuani,Sett,Zoe,Elise,Renekton,Aphelios,Senna,Varus,Rek'Sai,Jarvan IV,Nautilus,Thresh,Aatrox,Azir,Galio,LeBlanc,Mordekaiser,Gangplank,Rumble,Sylas
Jarvan IV,Sett,Ornn,Thresh,Aphelios,Varus,Wukong,Kalista,Elise,Miss Fortune,Leona,Taric,Zoe,Renekton,Galio,Kassadin,Pantheon,Azir,Lee Sin,Hecarim
Ornn,Kindred,Elise,Aphelios,Varus,Sett,Senna,Jarvan IV,Rumble,Tahm Kench,Sylas,Aatrox,Lee Sin,Ezreal,Olaf,Caitlyn,Lulu,Renekton,Azir,Kog'Maw
Kassadin,Sett,Ornn,Elise,Tahm Kench,Varus,Aphelios,Kalista,Jarvan IV,Renekton,Lee Sin,Mordekaiser,Ekko,Thresh,LeBlanc,Taric,Syndra,Nautilus,Zoe,Leona
Ornn,Olaf,Gragas,Sett,Senna,Pantheon,Aphelios,Miss Fortune,Nautilus,Thresh,Renekton,Mordekaiser,Elise,LeBlanc,Taliyah,Zoe,Lee Sin,Jarvan IV,Rumble,Sylas
Zoe,Aphelios,LeBlanc,Senna,Sett,Elise,Olaf,Miss Fortune,Trundle,Kalista,Taric,Mordekaiser,Aatrox,Azir,Renekton,Kassadin,Bard,Ornn,Neeko,Syndra
Elise,Aphelios,Sett,Olaf,Kassadin,Taric,Varus,Jarvan IV,Miss Fortune,Rek'Sai,LeBlanc,Rumble,Tahm Kench,Fiora,Thresh,Nautilus,Aatrox,Wukong,Rakan,Leona
LeBlanc,Irelia,Syndra,Renekton,Sylas,Zoe,Aphelios,Sett,Ezreal,Nautilus,Aatrox,Yuumi,Lee Sin,Rumble,Elise,Jarvan IV,Olaf,Trundle,Viktor,Taliyah
Thresh,Aphelios,Elise,Mordekaiser,Wukong,Kassadin,Kalista,Renekton,Varus,Taric,Sett,Braum,Galio,Zoe,Jarvan IV,Olaf,Azir,Aatrox,Viktor,Nidalee
LeBlanc,Aphelios,Elise,Jarvan IV,Kalista,Renekton,Thresh,Varus,Nautilus,Sett,Miss Fortune,Wukong,Mordekaiser,Kassadin,Olaf,Sylas,Rek'Sai,Ornn,Corki,Azir
Elise,Syndra,Kalista,Aphelios,Rek'Sai,Olaf,Varus,Miss Fortune,Nautilus,Lee Sin,Zoe,Jarvan IV,Thresh,Wukong,Braum,Sett,Cassiopeia,Renekton,Leona,Aatrox
Jarvan IV,Zoe,Thresh,Renekton,Sett,Syndra,Trundle,Aphelios,Taric,Varus,Braum,Wukong,Malphite,LeBlanc,Mordekaiser,Kassadin,Rek'Sai,Jax,Neeko,Azir
Thresh,LeBlanc,Olaf,Renekton,Senna,Taric,Sett,Aphelios,Wukong,Elise,Varus,Nautilus,Leona,Nidalee,Azir,Rek'Sai,Lee Sin,Zoe,Tahm Kench,Galio
Sejuani,Kalista,Jarvan IV,Aphelios,Miss Fortune,Sett,Varus,Xayah,Rakan,Caitlyn,Morgana,Renekton,Rumble,Elise,Nidalee,Gragas,Ekko,Ornn,Lee Sin,Talon
Azir,Pantheon,Mordekaiser,Kalista,Varus,Wukong,Aphelios,Miss Fortune,Sett,Thresh,Trundle,Sejuani,Ornn,Ekko,Rumble,Irelia,Nautilus,Galio,Aatrox,Corki
Kalista,Aphelios,Elise,Sett,Varus,Senna,Miss Fortune,Olaf,Kai'Sa,Trundle,Nautilus,Taric,Zoe,LeBlanc,Mordekaiser,Renekton,Ornn,Aatrox,Azir,Kassadin
Elise,Aphelios,Senna,Poppy,Thresh,Kalista,Jarvan IV,Varus,Aatrox,Miss Fortune,Ornn,Braum,Rumble,Kassadin,Yuumi,LeBlanc,Lee Sin,Azir,Nautilus,Corki
Nautilus,Sett,Pantheon,Aphelios,Olaf,Ornn,Elise,Rek'Sai,Renekton,Aatrox,Miss Fortune,Kalista,Leona,Thresh,Senna,Rumble,Rakan,Alistar,Qiyana,Sylas
Zoe,Jarvan IV,LeBlanc,Thresh,Sett,Pantheon,Aphelios,Kalista,Taric,Renekton,Azir,Ornn,Elise,Syndra,Blitzcrank,Lee Sin,Corki,Trundle,Janna,Kindred
Renekton,Aphelios,Zoe,Kalista,Jarvan IV,LeBlanc,Varus,Wukong,Miss Fortune,Mordekaiser,Olaf,Trundle,Thresh,Morgana,Braum,Nautilus,Taric,Azir,Tahm Kench,Corki
Elise,Gragas,Lucian,LeBlanc,Rumble,Akali,Qiyana,Olaf,Aphelios,Varus,Braum,Zoe,Mordekaiser,Thresh,Taliyah,Irelia,Ornn,Sett,Nidalee,Leona
Pantheon,Aphelios,Olaf,Renekton,Varus,Sett,Senna,Elise,Aatrox,Tahm Kench,Zoe,Cassiopeia,Jarvan IV,Rakan,Lee Sin,Nautilus,Miss Fortune,Irelia,Sejuani,Yuumi
Syndra,Senna,Elise,Kalista,LeBlanc,Sett,Zoe,Rek'Sai,Orianna,Jarvan IV,Aphelios,Aatrox,Mordekaiser,Miss Fortune,Qiyana,Cassiopeia,Neeko,Nautilus,Ornn,Pyke
Jarvan IV,Renekton,Azir,Pantheon,Thresh,Aphelios,Kalista,Wukong,Taric,Sett,Rumble,Varus,Ornn,Corki,Nautilus,Kassadin,Trundle,Graves,Mordekaiser,LeBlanc
Renekton,Senna,Zoe,Aphelios,Sejuani,Olaf,Varus,Sett,Gragas,Ornn,Thresh,Irelia,Azir,Mordekaiser,LeBlanc,Braum,Kai'Sa,Elise,Pantheon,Nautilus
Irelia,Aphelios,Sejuani,Kalista,Varus,Senna,Ornn,Sett,Miss Fortune,Caitlyn,Thresh,Braum,Lee Sin,Kassadin,LeBlanc,Gragas,Mordekaiser,Olaf,Syndra,Nidalee
Azir,Aphelios,Senna,Elise,Varus,Kalista,Wukong,Miss Fortune,Jarvan IV,Kindred,Taric,Ornn,Trundle,Sylas,Zoe,LeBlanc,Bard,Olaf,Zilean,Corki
Zoe,Aphelios,Pantheon,Elise,Azir,Senna,Renekton,Sett,Olaf,Kalista,Taric,Mordekaiser,Qiyana,Kai'Sa,Lucian,Miss Fortune,LeBlanc,Sylas,Rek'Sai,Varus
Pantheon,Akali,Elise,Qiyana,Rumble,Gragas,Aphelios,Jarvan IV,Miss Fortune,Leona,Rek'Sai,Mordekaiser,Fiora,Thresh,Lucian,Lissandra,Braum,Aatrox,LeBlanc,Ryze
Qiyana,Akali,Rumble,Lucian,Elise,Mordekaiser,Miss Fortune,Aphelios,Gragas,Lee Sin,LeBlanc,Lissandra,Shen,Fiora,Rakan,Camille,Leona,Aatrox,Morgana,Gangplank
Nautilus,Sett,Pantheon,Aphelios,Olaf,Elise,Senna,Varus,Ornn,Tahm Kench,Jarvan IV,Lee Sin,Aatrox,Braum,Rumble,Mordekaiser,Yuumi,Vladimir,Sylas,Kassadin
Mordekaiser,Zoe,Aatrox,Trundle,Kalista,Thresh,Aphelios,Miss Fortune,Renekton,Braum,Ornn,Elise,Olaf,Vladimir,Lee Sin,Sett,Rakan,Syndra,Rek'Sai,Azir
Rumble,Aphelios,Jarvan IV,Zoe,Sett,Taric,Renekton,Varus,Olaf,Miss Fortune,Syndra,Kassadin,Rek'Sai,Ornn,Lee Sin,Thresh,Wukong,Nautilus,Elise,Leona
Yuumi,Sett,Olaf,Ornn,Lee Sin,Pantheon,Elise,Aphelios,Sejuani,Senna,Tahm Kench,Nautilus,Renekton,Camille,Zoe,Irelia,Aatrox,Qiyana,Azir,Sylas
Pantheon,Aphelios,Ornn,Yuumi,Varus,Senna,Sett,Ezreal,Olaf,Lee Sin,Zoe,LeBlanc,Kalista,Bard,Caitlyn,Tahm Kench,Janna,Miss Fortune,Leona,Alistar
Kalista,Aphelios,LeBlanc,Renekton,Sett,Jarvan IV,Rumble,Varus,Neeko,Miss Fortune,Nautilus,Thresh,Ornn,Aatrox,Elise,Trundle,Lee Sin,Olaf,Mordekaiser,Vayne
Jarvan IV,Zoe,Sejuani,LeBlanc,Varus,Lee Sin,Aphelios,Taric,Kalista,Braum,Olaf,Trundle,,Kassadin,Mordekaiser,Wukong,Azir,Ornn,Corki,Akali
Elise,Kalista,Irelia,Lucian,Sett,Thresh,Aphelios,Renekton,Senna,Rumble,Karma,Nautilus,Jarvan IV,Zoe,Olaf,Sejuani,Gragas,Zac,Jayce,LeBlanc
Azir,Pantheon,Trundle,Wukong,Sejuani,Kalista,Aphelios,Sett,Miss Fortune,Thresh,Jarvan IV,Gragas,Rumble,LeBlanc,Ornn,Irelia,Nautilus,Galio,Renekton,Corki
Sett,Renekton,Elise,Rumble,Varus,Sylas,Aphelios,Kalista,Taric,Braum,Trundle,LeBlanc,Lissandra,Jarvan IV,Kassadin,Wukong,Olaf,Aatrox,Corki,Qiyana
Gragas,Akali,Pantheon,Lucian,LeBlanc,Rumble,Qiyana,Aphelios,Nautilus,Braum,Miss Fortune,Mordekaiser,Elise,Lee Sin,Renekton,Jarvan IV,Rakan,Gangplank,Zoe,Rek'Sai
Kassadin,Aphelios,Lee Sin,Ornn,Jarvan IV,Elise,Varus,Wukong,Trundle,Kindred,LeBlanc,Syndra,Thresh,Miss Fortune,Mordekaiser,Kalista,Ezreal,Maokai,Braum,Rakan
Olaf,Akali,Ryze,Aphelios,Pantheon,Qiyana,Miss Fortune,Renekton,Taliyah,Rumble,Leona,Lucian,Rek'Sai,Braum,Jarvan IV,Nautilus,Rakan,Mordekaiser,Lee Sin,Aatrox
Wukong,Sett,Senna,Renekton,Lee Sin,Trundle,Kalista,Aphelios,Ornn,Taric,Irelia,Braum,Olaf,Rek'Sai,Elise,Zoe,Sejuani,Zac,Vladimir,Azir
Kalista,Syndra,Jarvan IV,Senna,Thresh,Bard,Varus,Sett,Renekton,Aatrox,Pyke,Kai'Sa,Lee Sin,Sylas,Gragas,Trundle,Elise,LeBlanc,Rek'Sai,Galio
Thresh,Zoe,Jarvan IV,Senna,LeBlanc,Aphelios,Varus,Renekton,Ezreal,Olaf,Karma,Lee Sin,Aatrox,Bard,Ornn,Azir,Nautilus,Leona,Gangplank,Corki
LeBlanc,Aphelios,Zoe,Elise,Varus,Wukong,Senna,Jarvan IV,Azir,Tahm Kench,Corki,Miss Fortune,Olaf,Nautilus,Mordekaiser,Leona,Yuumi,Sett,Rek'Sai,Poppy
Pantheon,Aphelios,Sett,Aatrox,Renekton,Elise,Varus,Jarvan IV,Thresh,Blitzcrank,Lee Sin,Miss Fortune,Kassadin,Mordekaiser,Fiora,Rumble,Ornn,Camille,LeBlanc,Lissandra
Elise,Sylas,Sett,Aphelios,Pantheon,Senna,Kalista,Miss Fortune,Rek'Sai,Varus,Jarvan IV,Nautilus,Braum,LeBlanc,Rumble,Ornn,Kennen,Thresh,Syndra,Ekko
Rumble,Akali,Pantheon,Aphelios,Olaf,Lucian,Elise,Qiyana,Miss Fortune,Irelia,Leona,LeBlanc,Mordekaiser,Nautilus,Renekton,Camille,Braum,Kai'Sa,Ornn,Gangplank
Rek'Sai,Senna,Jarvan IV,Olaf,Ornn,Sett,Aphelios,Renekton,Sejuani,Lee Sin,Thresh,Miss Fortune,Quinn,Blitzcrank,LeBlanc,Nautilus,Braum,Rumble,Mordekaiser,Sylas
Rumble,Akali,Qiyana,Aphelios,Elise,Pantheon,Miss Fortune,Renekton,Taliyah,LeBlanc,Lee Sin,Senna,Mordekaiser,Tahm Kench,Ornn,Thresh,Lissandra,Nautilus,Lucian,Braum
Zoe,Rumble,Senna,Thresh,Taliyah,Sett,Ornn,Jarvan IV,Miss Fortune,Nautilus,Aphelios,Leona,Elise,Aatrox,Olaf,Sylas,Mordekaiser,Rek'Sai,Azir,LeBlanc
Elise,Kalista,Mordekaiser,Jarvan IV,Tahm Kench,Braum,Trundle,Aphelios,Lee Sin,Sett,Kai'Sa,Thresh,Wukong,Kassadin,Azir,Lissandra,Aatrox,LeBlanc,Ornn,Galio
Jarvan IV,Senna,Nautilus,Lucian,Wukong,Kalista,Aphelios,Miss Fortune,Trundle,Sett,Syndra,Azir,Thresh,Ornn,Taric,Blitzcrank,Leona,Braum,Aatrox,Kennen
Pantheon,Aphelios,Thresh,Aatrox,Sett,Elise,Renekton,Jarvan IV,Varus,Kalista,Sejuani,Ornn,Braum,Rumble,Leona,Azir,Nautilus,Taric,Kassadin,Cassiopeia
Elise,Rumble,Gragas,Aphelios,Senna,Cassiopeia,Sett,Ornn,Olaf,Miss Fortune,Thresh,Lucian,Lee Sin,LeBlanc,Taliyah,Zoe,Bard,Pantheon,Karthus,Sylas
Jarvan IV,Azir,Pantheon,Senna,Thresh,Kalista,Aphelios,Miss Fortune,Ornn,Braum,Rumble,Bard,LeBlanc,Olaf,Zoe,Elise,Syndra,Rek'Sai,Orianna,Kindred
Kalista,Aphelios,LeBlanc,Renekton,Sett,Lee Sin,Rumble,Jarvan IV,Varus,Rek'Sai,Miss Fortune,Braum,Wukong,Neeko,Nautilus,Aatrox,Orianna,Ornn,Rakan,Sylas
Pantheon,Aphelios,Senna,Renekton,Sett,Kindred,Kalista,Wukong,Varus,Taric,Mordekaiser,Tahm Kench,Lee Sin,Elise,Sylas,Olaf,Sejuani,LeBlanc,Trundle,Kassadin
Sett,Yuumi,Ornn,Olaf,Pantheon,Lee Sin,Aphelios,Senna,Tahm Kench,Elise,Nautilus,Jarvan IV,Qiyana,Zoe,Lucian,Rumble,LeBlanc,Aatrox,Lissandra,Mordekaiser
Jarvan IV,Kalista,Sett,Aphelios,Renekton,Senna,Varus,Kai'Sa,Nautilus,Elise,Lucian,Mordekaiser,Syndra,Azir,Zoe,Corki,Olaf,Orianna,Leona,LeBlanc
Zoe,Sett,Rumble,Elise,LeBlanc,Aphelios,Renekton,Varus,Aatrox,Miss Fortune,Nautilus,Leona,Sejuani,Syndra,Jarvan IV,Lee Sin,Rek'Sai,Gragas,Qiyana,Lissandra
Renekton,Senna,Zoe,Sett,Elise,Kalista,Pantheon,Syndra,Rek'Sai,Aphelios,Ornn,Bard,Nautilus,Sylas,Thresh,Mordekaiser,Aatrox,Leona,Rumble,LeBlanc
Senna,Olaf,LeBlanc,Sett,Varus,Aphelios,Ornn,Aatrox,Sylas,Zoe,Thresh,Lucian,Lee Sin,Blitzcrank,Rek'Sai,Nautilus,Kalista,Maokai,Ezreal,Bard
Elise,Aphelios,Aatrox,Wukong,Kassadin,Jarvan IV,Sett,Nautilus,Renekton,Varus,Sejuani,Kai'Sa,Irelia,Olaf,Zoe,Trundle,Nidalee,Braum,Azir,Neeko
Pantheon,Aphelios,Olaf,Sejuani,Varus,Sett,Senna,Renekton,Miss Fortune,Jarvan IV,Tahm Kench,Yuumi,LeBlanc,Lee Sin,Ornn,Elise,Zoe,Aatrox,Ekko,Gragas
Irelia,LeBlanc,Zoe,Sett,Senna,Aphelios,Varus,Jarvan IV,Kalista,Renekton,Tahm Kench,Taric,Gragas,Rumble,Elise,Wukong,Mordekaiser,Syndra,Sejuani,Kassadin
LeBlanc,Aphelios,Azir,Renekton,Kalista,Rumble,Jarvan IV,Senna,Syndra,Varus,Zoe,Sett,Aatrox,Maokai,Ornn,Nautilus,Tahm Kench,Wukong,Karma,Malphite
Ornn,Sett,Olaf,Senna,Elise,Aphelios,Varus,Maokai,Zoe,Mordekaiser,LeBlanc,Miss Fortune,Lee Sin,Leona,Rek'Sai,Yuumi,Gangplank,Jarvan IV,Thresh,Nautilus
LeBlanc,Sett,Jarvan IV,Aphelios,Senna,Zoe,Elise,Miss Fortune,Renekton,Kalista,Aatrox,Sejuani,Taric,Irelia,Rumble,Jayce,Nautilus,Leona,Syndra,Sylas
Zoe,Elise,Jarvan IV,Aphelios,Azir,Senna,Renekton,Sett,Sejuani,Gragas,Irelia,Miss Fortune,Varus,Nautilus,Kai'Sa,Leona,Mordekaiser,Kalista,Taric,Alistar
Lucian,Jarvan IV,Senna,Nautilus,Tahm Kench,Kalista,Sett,Aphelios,Trundle,Sejuani,Miss Fortune,Syndra,Azir,Ornn,Irelia,Thresh,Aatrox,Ekko,Wukong,Leona
Elise,Rumble,Senna,Pantheon,Olaf,Blitzcrank,Sett,Ornn,Sejuani,Trundle,Aphelios,Miss Fortune,Morgana,Irelia,Braum,Thresh,Leona,Taric,Sylas,Azir
Elise,Sett,Senna,Aphelios,Azir,Rek'Sai,Ornn,Miss Fortune,Olaf,Ezreal,Leona,Braum,Trundle,Zoe,Jarvan IV,Syndra,Janna,Nunu & Willump,Lucian,Lissandra
Irelia,Kalista,Varus,Mordekaiser,Trundle,Zoe,Aphelios,Wukong,Miss Fortune,Rek'Sai,Maokai,Jarvan IV,LeBlanc,Nautilus,Kassadin,Azir,Corki,Sylas,Leona,Rakan
Azir,Thresh,Zoe,Pantheon,Wukong,Rumble,Kalista,Aphelios,Trundle,Taric,Sett,Braum,Kindred,LeBlanc,Elise,Sylas,Syndra,Graves,Aurelion Sol,Aatrox
LeBlanc,Sett,Senna,Olaf,Aatrox,Aphelios,Ornn,Lee Sin,Zoe,Rek'Sai,Miss Fortune,Mordekaiser,Gangplank,Kalista,Sylas,Caitlyn,Varus,Nautilus,Rumble,Leona
Sett,Senna,Tahm Kench,Elise,Jarvan IV,Irelia,Kalista,Aphelios,Trundle,Taric,Kassadin,Braum,Ornn,LeBlanc,Lee Sin,Zoe,Vayne,Rek'Sai,Mordekaiser,Sylas
Ornn,Sett,Senna,Renekton,Kled,Aphelios,Aatrox,Miss Fortune,Nautilus,Pantheon,Ekko,Lee Sin,Kalista,Rumble,Varus,Sylas,Poppy,Ezreal,Leona,Azir
