Blue Ban 1,Red Ban 1,Blue Ban 2,Red Ban 2,Blue Ban 3,Red Ban 3,Blue Pick 1,Red Pick 1,Red Pick 2,Blue Pick 2,Blue Pick 3,Red Pick 3,Red Ban 4,Blue Ban 4,Red Ban 5,Blue Ban 5,Red Pick 4,Blue Pick 4,Blue Pick 5,Red Pick 5
Renekton,Seraphine,Thresh,Gnar,Gragas,Camille,Udyr,Lillia,Rell,Alistar,Syndra,Kai'Sa,Kalista,Lucian,Tristana,Aatrox,Sion,Xayah,Irelia,Mordekaiser
Kalista,Ziggs,Varus,Lucian,LeBlanc,Diana,Renekton,Gwen,Leona,Aphelios,Thresh,Ashe,Sylas,Ryze,Irelia,Lee Sin,Xin Zhao,Rumble,Viego,Orianna
Gwen,Rumble,Akali,Nocturne,Karma,Senna,Lulu,Ezreal,Xin Zhao,Kog'Maw,Volibear,Nautilus,Braum,LeBlanc,Orianna,Irelia,Jayce,Lee Sin,Viktor,Syndra
Gwen,Akali,Kalista,Xin Zhao,Aphelios,Viego,Lee Sin,Renekton,LeBlanc,Ezreal,Sylas,Nidalee,Ornn,Varus,Volibear,Nautilus,Leona,Dr. Mundo,Braum,Vayne
Diana,Irelia,Kalista,Xin Zhao,Trundle,Thresh,Viego,Syndra,Leona,Ziggs,Tahm Kench,Tristana,Lee Sin,Volibear,Nautilus,Graves,Zac,Camille,Galio,Renekton
Xin Zhao,Lucian,Diana,Renekton,Irelia,Jayce,Lee Sin,Varus,Leona,Ashe,Tahm Kench,Gnar,Kennen,Trundle,Sylas,Orianna,Ryze,Rumble,Viego,Zac
Kalista,Rumble,Nocturne,Ezreal,Udyr,Akali,Renekton,Volibear,Varus,Nidalee,Azir,Syndra,Kai'Sa,Nautilus,Thresh,Leona,Tahm Kench,Karma,Tristana,Gnar
Alistar,Zoe,Gnar,Lillia,Nidalee,Kai'Sa,Udyr,Seraphine,Renekton,Samira,Rell,Olaf,Sion,Tristana,Gragas,Thresh,Rakan,Volibear,Azir,Xayah
Zoe,Udyr,Seraphine,Kai'Sa,Renekton,Lillia,Gragas,Azir,Olaf,Xayah,Viktor,Gnar,Lucian,Thresh,Jayce,Samira,Kalista,Tristana,Hecarim,Rell
Lucian,Viego,Akali,Varus,Lee Sin,Gnar,Renekton,Rumble,Sett,Xin Zhao,Lulu,Gwen,Senna,Kalista,Nautilus,Thresh,Karma,Ezreal,Yuumi,Vayne
Twisted Fate,Kai'Sa,Pantheon,Renekton,Samira,Zoe,Olaf,Trundle,Leona,Aphelios,Thresh,Miss Fortune,Orianna,Syndra,Aatrox,Ekko,Azir,Ryze,Gnar,Gangplank
Sett,Nocturne,Diana,Xin Zhao,Akali,Lucian,Viego,Varus,Lee Sin,Kalista,Nautilus,Leona,Gwen,LeBlanc,Ryze,Sylas,Twisted Fate,Orianna,Olaf,Camille
Lulu,Rumble,Thresh,Nocturne,Karma,Akali,Renekton,Diana,Volibear,Xin Zhao,Sylas,Viego,Rell,Tahm Kench,Kai'Sa,Leona,Ezreal,Tristana,Rakan,Nautilus
Taliyah,Olaf,Pantheon,Lucian,Kai'Sa,Fiddlesticks,Twisted Fate,Gragas,Thresh,Hecarim,Alistar,Aphelios,Camille,Sylas,Samira,Jayce,Graves,Jhin,Ornn,LeBlanc
Rumble,Kalista,Nocturne,Lee Sin,Viego,Gwen,Sett,Karma,Xin Zhao,Vi,Galio,Tristana,Kai'Sa,Thresh,Lulu,Nautilus,Braum,Lucian,Rakan,Jayce
Tristana,Syndra,Taliyah,Pantheon,Thresh,Olaf,Kai'Sa,Xayah,Gnar,Graves,Orianna,Lillia,Camille,Zoe,Leona,Azir,Alistar,Gangplank,Sett,Galio
Zoe,Camille,Renekton,Samira,Akali,Ornn,Graves,Olaf,Leona,Syndra,Thresh,Orianna,Miss Fortune,Gragas,Aphelios,Kai'Sa,Jhin,Xayah,Kennen,Jayce
Zoe,Renekton,Syndra,Kai'Sa,Samira,Camille,Udyr,Azir,Olaf,Corki,Gragas,Aatrox,Jayce,Thresh,Xayah,Rell,Tristana,Gnar,Lucian,Alistar
Twisted Fate,Taliyah,Udyr,Camille,Renekton,Thresh,Olaf,Kai'Sa,Pantheon,Azir,Seraphine,Syndra,Senna,Rell,Ashe,Gangplank,Gragas,Aatrox,Nautilus,Leona
Karma,Thresh,Kalista,Nocturne,Gwen,Senna,Lee Sin,Galio,Tristana,Xin Zhao,Akali,Vi,Ezreal,Renekton,Varus,Gangplank,Kled,Xayah,Rell,Rakan
Twisted Fate,Gragas,Thresh,Renekton,Galio,Hecarim,Udyr,Orianna,Kai'Sa,Tristana,Alistar,Olaf,Zoe,Rell,Azir,Irelia,Nautilus,Jayce,Syndra,Malphite
Lee Sin,Xin Zhao,Ezreal,Akali,Lucian,Renekton,Rumble,Sett,Varus,Viego,Jhin,Diana,Nocturne,Gwen,Leona,Tahm Kench,Thresh,Ryze,Nautilus,Kennen
Rell,Lucian,Udyr,Renekton,Zoe,Lillia,Hecarim,Kai'Sa,Alistar,Tristana,Gragas,Skarner,Jayce,Gnar,Azir,Camille,Aatrox,Sylas,Nocturne,Galio
Gwen,Olaf,LeBlanc,Diana,Xin Zhao,Viego,Irelia,Thresh,Lucian,Gragas,Varus,Rumble,Nautilus,Renekton,Gangplank,Kalista,Aphelios,Leona,Camille,Sett
Ziggs,Xin Zhao,Kalista,Viego,Kayn,Thresh,Diana,Gwen,Irelia,Renekton,Ryze,Volibear,Braum,Leona,Galio,Alistar,Ezreal,Kai'Sa,Nautilus,Gragas
Seraphine,Udyr,Skarner,Hecarim,Twisted Fate,Syndra,Olaf,Tristana,Lillia,Kai'Sa,Rell,Alistar,Orianna,Lucian,Cassiopeia,Gangplank,Sivir,Azir,Renekton,Gnar
Varus,Xin Zhao,Lucian,Akali,Nocturne,Draven,Thresh,Gwen,Lee Sin,Volibear,Aphelios,Kai'Sa,Lulu,Nautilus,Karma,Blitzcrank,Leona,LeBlanc,Renekton,Sylas
Viego,Lee Sin,Renekton,Varus,Ezreal,Nocturne,Udyr,Rumble,Karma,Kai'Sa,Nautilus,Senna,Wukong,Tahm Kench,LeBlanc,Ryze,Sett,Gnar,Sylas,Jayce
Nocturne,Thresh,Renekton,Lee Sin,Varus,Udyr,Rumble,Ezreal,Kindred,Sett,Kai'Sa,Gwen,Lucian,Twisted Fate,Jayce,Karma,Leona,Nautilus,Akali,Syndra
LeBlanc,Xin Zhao,Renekton,Camille,Aphelios,Ziggs,Viego,Gwen,Leona,Varus,Braum,Kalista,Kennen,Orianna,Jayce,Sylas,Akali,Lee Sin,Twisted Fate,Trundle
Camille,Gnar,Twisted Fate,Nidalee,Gragas,Kai'Sa,Udyr,Rell,Olaf,Thresh,Aphelios,Azir,Zoe,Kalista,Syndra,Tristana,Samira,Sion,Viktor,Jayce
Olaf,Nidalee,Yone,Graves,Udyr,Seraphine,Rell,Aphelios,Thresh,Lillia,Samira,Skarner,Pantheon,Orianna,Jayce,Gnar,Renekton,Gragas,Sett,Azir
Aphelios,Taliyah,Olaf,Pantheon,Zoe,Kai'Sa,Samira,Vayne,Renekton,Lillia,Alistar,Galio,Gnar,Nidalee,Lucian,Gragas,Syndra,Orianna,Gangplank,Jarvan IV
Nidalee,Samira,Camille,Pantheon,Aatrox,Aphelios,Graves,Kai'Sa,Syndra,Ornn,Orianna,Gnar,Thresh,Kindred,Xayah,Olaf,Leona,Tristana,Alistar,Lillia
Syndra,Twisted Fate,Xayah,Pantheon,Samira,Udyr,Kai'Sa,Zoe,Olaf,Graves,Orianna,Senna,Gragas,Jayce,Ornn,Gnar,Leona,Galio,Aatrox,Camille
Lucian,Thresh,Ziggs,Ryze,Diana,Lee Sin,Renekton,Nidalee,Jayce,Taliyah,Leona,Varus,Ashe,Gnar,Irelia,Braum,Nautilus,Jhin,Ornn,LeBlanc
Seraphine,Gnar,Rell,Renekton,Thresh,Ezreal,Hecarim,Alistar,Graves,Gragas,Azir,Kai'Sa,Aphelios,Aatrox,Samira,Viktor,Orianna,Senna,Tahm Kench,Sion
Irelia,Kalista,Varus,Viego,Diana,LeBlanc,Xin Zhao,Renekton,Thresh,Lucian,Kennen,Aphelios,Draven,Ryze,Ziggs,Zed,Akali,Syndra,Blitzcrank,Olaf
Taliyah,Gragas,Seraphine,Alistar,Udyr,Thresh,Olaf,Rell,Kai'Sa,Xayah,Rakan,Nidalee,Twisted Fate,Renekton,Galio,Jayce,Gnar,Gangplank,Azir,Zoe
Nocturne,Renekton,Akali,LeBlanc,Xin Zhao,Gwen,Lee Sin,Sylas,Varus,Camille,Ziggs,Fiora,Nautilus,Rakan,Galio,Alistar,Leona,Ryze,Sett,Trundle
Thresh,Gwen,Lulu,Nocturne,Varus,Akali,Ezreal,Xin Zhao,Ryze,Volibear,Karma,Kai'Sa,Lee Sin,Nautilus,Renekton,Leona,Rakan,Orianna,Urgot,Sett
Renekton,Thresh,Kalista,Lillia,Rell,Senna,Seraphine,Azir,Udyr,Hecarim,Kai'Sa,Camille,Gragas,Xayah,Kennen,Tristana,Aphelios,Leona,Gnar,Galio
Tristana,Seraphine,Twisted Fate,Renekton,Olaf,Azir,Udyr,Lucian,Lillia,Syndra,Kai'Sa,Gragas,Gnar,Kalista,Rell,Xayah,Senna,Nautilus,Aatrox,Tahm Kench
Syndra,Azir,Zoe,Hecarim,Udyr,Seraphine,Thresh,Rell,Lillia,Graves,Jinx,Gnar,Irelia,Lucian,Sion,Tristana,Orianna,Viktor,Kennen,Kai'Sa
Udyr,Thresh,Rell,Renekton,Kai'Sa,Seraphine,Lillia,Senna,Kayn,Camille,Irelia,Sion,Kalista,Azir,Ezreal,Nautilus,Viktor,Lucian,Yuumi,Maokai
Ziggs,Lucian,Jayce,Renekton,LeBlanc,Varus,Viego,Ryze,Aphelios,Ashe,Orianna,Lee Sin,Leona,Gnar,Ornn,Thresh,Tahm Kench,Sett,Braum,Gangplank
Thresh,Kalista,Nocturne,Renekton,Xin Zhao,Viego,Akali,Varus,Lee Sin,Tristana,Volibear,Twisted Fate,Braum,Alistar,Leona,Nautilus,Galio,Olaf,Rakan,Kindred
Ezreal,Lucian,Akali,Renekton,Lee Sin,Tahm Kench,Karma,Kalista,Rumble,Udyr,Varus,Sett,Orianna,Nocturne,Twisted Fate,Viego,Nautilus,Viktor,Gnar,Ryze
Varus,Lucian,Xin Zhao,Renekton,Lulu,Akali,Rumble,Nocturne,Sett,Gnar,Ezreal,Kalista,Alistar,Diana,Braum,Nidalee,Lillia,Lee Sin,Leona,Gangplank
Udyr,Gragas,Kindred,Rell,Aphelios,Seraphine,Renekton,Kai'Sa,Nidalee,Taliyah,Samira,Volibear,Nautilus,Lucian,Galio,Alistar,Leona,Rakan,Orianna,Syndra
Thresh,LeBlanc,Nocturne,Xin Zhao,Ziggs,Lucian,Gwen,Viego,Karma,Varus,Leona,Ezreal,Jayce,Diana,Twisted Fate,Olaf,Gnar,Sylas,Lee Sin,Ryze
Lee Sin,Renekton,Camille,Volibear,Diana,Xin Zhao,Rumble,Varus,Viego,Lucian,Ezreal,Karma,Nautilus,LeBlanc,Leona,Ryze,Akali,Gnar,Bard,Malphite
Lucian,Zoe,Renekton,Pantheon,Aphelios,Kai'Sa,Olaf,Xayah,Orianna,Syndra,Camille,Gragas,Samira,Graves,Galio,Gnar,Alistar,Leona,Jhin,Kindred
Taliyah,Gnar,Renekton,Nidalee,Zoe,Pantheon,Olaf,Gragas,Kai'Sa,Samira,Rell,Udyr,Twisted Fate,Alistar,Azir,Camille,Orianna,Rumble,Galio,Leona
Viego,Lee Sin,Varus,Xin Zhao,Irelia,Olaf,Aphelios,Renekton,Diana,Thresh,Volibear,Ashe,Sylas,Lucian,LeBlanc,Yasuo,Sett,Azir,Tahm Kench,Ryze
Thresh,Udyr,Tristana,Renekton,Seraphine,Lillia,Rell,Kai'Sa,Nidalee,Kindred,Sion,Alistar,Xayah,Gnar,Syndra,Aatrox,Azir,Ezreal,Viktor,Sett
Samira,Udyr,Thresh,Seraphine,Nidalee,Kai'Sa,Rell,Alistar,Azir,Kalista,Lillia,Xayah,Gnar,Hecarim,Sion,Renekton,Kayn,Orianna,Aatrox,Gragas
LeBlanc,Camille,Viego,Xin Zhao,Akali,Renekton,Gwen,Nocturne,Diana,Lee Sin,Sylas,Yasuo,Thresh,Samira,Varus,Kai'Sa,Ezreal,Kalista,Alistar,Rell
Udyr,Thresh,Renekton,Hecarim,Lillia,Seraphine,Rell,Alistar,Nidalee,Graves,Tristana,Kai'Sa,Azir,Gnar,Gragas,Jayce,Syndra,Sion,Orianna,Jax
LeBlanc,Ziggs,Sylas,Olaf,Lee Sin,Thresh,Xin Zhao,Viego,Aphelios,Gwen,Orianna,Kennen,Lulu,Volibear,Tahm Kench,Twisted Fate,Nautilus,Kindred,Alistar,Trundle
Jayce,Xin Zhao,Aphelios,Viego,Kalista,Diana,Volibear,Gwen,Varus,Thresh,Jinx,Nautilus,LeBlanc,Olaf,Renekton,Lee Sin,Nocturne,Sett,Sylas,Ryze
Alistar,Seraphine,Lucian,Rell,Syndra,Lillia,Udyr,Senna,Hecarim,Aphelios,Nautilus,Tahm Kench,Renekton,Gangplank,Gnar,Azir,Zoe,Sion,Camille,Gragas
Thresh,Gwen,Nocturne,Xin Zhao,Akali,Kalista,Diana,Viego,Tristana,Lucian,Jayce,Ryze,Varus,Malphite,Karma,Lee Sin,Renekton,Ezreal,Braum,Rakan
Akali,Thresh,Varus,Lulu,Gwen,Rumble,Ezreal,Viego,Udyr,Renekton,Leona,Tristana,Lillia,Sylas,Nocturne,Twisted Fate,Braum,Nidalee,Orianna,Viktor
Rell,Seraphine,Olaf,Udyr,Twisted Fate,Lillia,Zoe,Kai'Sa,Gnar,Nidalee,Renekton,Galio,Samira,Sett,Aphelios,Graves,Taliyah,Xayah,Alistar,Leona
Lee Sin,Xin Zhao,Gwen,Nocturne,Kalista,Thresh,Diana,Viego,Varus,Akali,Renekton,LeBlanc,Kai'Sa,Rek'Sai,Samira,Braum,Leona,Ezreal,Alistar,Dr. Mundo
Diana,Nocturne,Varus,Xin Zhao,Ziggs,Thresh,Viego,Lucian,Gwen,Ryze,Jayce,Aphelios,Ezreal,Wukong,Kog'Maw,Leona,Zac,Kalista,Gragas,Braum
Viego,Diana,Lee Sin,Ziggs,Thresh,Nocturne,Xin Zhao,Olaf,Nautilus,Karma,Camille,Gwen,Leona,Ryze,Rell,Kalista,Varus,Kai'Sa,Alistar,Twisted Fate
Kalista,Rumble,Karma,Udyr,Renekton,Lulu,Varus,Ezreal,Nocturne,Xin Zhao,Tahm Kench,Volibear,Twisted Fate,Bard,Gwen,Lee Sin,Akali,Orianna,Gnar,Braum
Seraphine,Taliyah,Camille,Pantheon,Akali,Graves,Kai'Sa,Samira,Alistar,Nidalee,Lucian,Syndra,Gnar,Olaf,Aatrox,Ornn,Gragas,Renekton,Rell,Lee Sin
Ezreal,Xin Zhao,Akali,Rumble,Lucian,Lee Sin,Renekton,Nocturne,Sett,Diana,Viego,Nidalee,Kalista,Leona,Alistar,Varus,Jinx,Aphelios,Thresh,Tahm Kench
Pantheon,Nidalee,Olaf,Elise,Kai'Sa,Renekton,Samira,Lillia,Thresh,Gnar,Alistar,Aphelios,Hecarim,Jayce,Taliyah,Camille,Gangplank,Rek'Sai,Orianna,Azir
Renekton,Olaf,Senna,Udyr,Rell,Camille,Graves,Kai'Sa,Alistar,Seraphine,Miss Fortune,Taliyah,Gragas,Twisted Fate,Gnar,Zoe,Gangplank,Cho'Gath,Yone,Sylas
Karma,Lucian,Kalista,Renekton,Varus,Akali,Ezreal,Lee Sin,Diana,Udyr,Gnar,Senna,Leona,Tahm Kench,Alistar,Azir,Jayce,Sett,Gragas,Lulu
Karma,Lucian,Senna,Nocturne,Lee Sin,Akali,Renekton,Udyr,Varus,Rumble,Gnar,Jayce,Ezreal,Orianna,Kalista,Ryze,Viktor,Tristana,Alistar,Tahm Kench
Ezreal,Lulu,Karma,Akali,Renekton,Thresh,Gwen,Viego,Tristana,Varus,Tahm Kench,Braum,Sylas,Xin Zhao,Ryze,Volibear,Sejuani,Lucian,Rumble,Viktor
Irelia,Lucian,Lee Sin,Trundle,Thresh,Viego,Renekton,Xin Zhao,Ryze,Diana,Leona,Galio,Ashe,Gwen,Varus,Gnar,Aphelios,Kalista,Orianna,Ornn
LeBlanc,Xin Zhao,Thresh,Irelia,Viego,Akali,Gwen,Diana,Kalista,Ziggs,Lee Sin,Nocturne,Tristana,Galio,Renekton,Lucian,Leona,Alistar,Kayn,Ahri
